time="2021-10-30T13:24:09+08:00" level=info msg="Mixed(http+socks) proxy listening at: 127.0.0.1:7890"
time="2021-10-30T13:24:09+08:00" level=info msg="RESTful API listening at: 127.0.0.1:44603"
time="2021-10-30T13:31:26+08:00" level=info msg="Start initial compatible provider 🎯 全球直连"
time="2021-10-30T13:31:26+08:00" level=info msg="Start initial compatible provider ♻️ 自动选择"
time="2021-10-30T13:31:26+08:00" level=info msg="Start initial compatible provider 🔰 节点选择"
time="2021-10-30T13:31:26+08:00" level=info msg="Start initial compatible provider 🐟 漏网之鱼"
time="2021-10-30T13:31:26+08:00" level=info msg="Start initial compatible provider Ⓜ️ 微软服务"
time="2021-10-30T13:31:26+08:00" level=info msg="Start initial compatible provider 🌏 国内媒体"
time="2021-10-30T13:31:26+08:00" level=info msg="Start initial compatible provider 🍎 苹果服务"
time="2021-10-30T13:31:26+08:00" level=info msg="Start initial compatible provider 🛑 全球拦截"
time="2021-10-30T13:31:26+08:00" level=info msg="Start initial compatible provider 📲 电报信息"
time="2021-10-30T13:31:26+08:00" level=info msg="Start initial compatible provider 🌍 国外媒体"
