time="2021-11-03T10:01:28+08:00" level=error msg="Start Mixed(http and socks) server error: listen tcp 127.0.0.1:7890: bind: address already in use"
time="2021-11-03T10:01:28+08:00" level=info msg="RESTful API listening at: 127.0.0.1:32845"
time="2021-11-03T10:01:29+08:00" level=info msg="Start initial compatible provider 🌍 国外媒体"
time="2021-11-03T10:01:29+08:00" level=info msg="Start initial compatible provider 🎯 全球直连"
time="2021-11-03T10:01:29+08:00" level=info msg="Start initial compatible provider ♻️ 自动选择"
time="2021-11-03T10:01:29+08:00" level=info msg="Start initial compatible provider 🔰 节点选择"
time="2021-11-03T10:01:29+08:00" level=info msg="Start initial compatible provider 🛑 全球拦截"
time="2021-11-03T10:01:29+08:00" level=info msg="Start initial compatible provider Ⓜ️ 微软服务"
time="2021-11-03T10:01:29+08:00" level=info msg="Start initial compatible provider 🍎 苹果服务"
time="2021-11-03T10:01:29+08:00" level=info msg="Start initial compatible provider 🐟 漏网之鱼"
time="2021-11-03T10:01:29+08:00" level=info msg="Start initial compatible provider 🌏 国内媒体"
time="2021-11-03T10:01:29+08:00" level=info msg="Start initial compatible provider 📲 电报信息"
